2θ (°),I (count),σ (count),,
18.140,301,17.3,,
18.155,296,17.2,,
18.170,321,17.9,,
18.185,313,17.7,,
18.200,288,17.0,,
18.215,311,17.6,,
18.230,293,17.1,,
18.245,324,18.0,,
18.260,297,17.2,,
18.275,274,16.6,,
18.290,281,16.8,,
18.305,289,17.0,,
18.320,279,16.7,,
18.335,310,17.6,,
18.350,300,17.3,,
18.365,284,16.9,,
18.380,262,16.2,,
18.395,253,15.9,,
18.410,287,16.9,,
18.425,280,16.7,,
18.440,284,16.9,,
18.455,287,16.9,,
18.470,273,16.5,,
18.485,301,17.3,,
18.500,293,17.1,,
18.515,309,17.6,,
18.530,284,16.9,,
18.545,272,16.5,,
18.560,252,15.9,,
18.575,291,17.1,,
18.590,288,17.0,,
18.605,290,17.0,,
18.620,284,16.9,,
18.635,273,16.5,,
18.650,271,16.5,,
18.665,264,16.2,,
18.680,274,16.6,,
18.695,280,16.7,,
18.710,272,16.5,,
18.725,270,16.4,,
18.740,298,17.3,,
18.755,271,16.5,,
18.770,277,16.6,,
18.785,248,15.7,,
18.800,271,16.5,,
18.815,266,16.3,,
18.830,284,16.9,,
18.845,288,17.0,,
18.860,270,16.4,,
18.875,283,16.8,,
18.890,281,16.8,,
18.905,277,16.6,,
18.920,279,16.7,,
18.935,258,16.1,,
18.950,268,16.4,,
18.965,289,17.0,,
18.980,257,16.0,,
18.995,270,16.4,,
19.010,259,16.1,,
19.025,302,17.4,,
19.040,287,16.9,,
19.055,282,16.8,,
19.070,273,16.5,,
19.085,263,16.2,,
19.100,280,16.7,,
19.115,269,16.4,,
19.130,279,16.7,,
19.145,253,15.9,,
19.160,247,15.7,,
19.175,273,16.5,,
19.190,266,16.3,,
19.205,282,16.8,,
19.220,261,16.2,,
19.235,255,16.0,,
19.250,291,17.1,,
19.265,277,16.6,,
19.280,270,16.4,,
19.295,266,16.3,,
19.310,270,16.4,,
19.325,252,15.9,,
19.340,262,16.2,,
19.355,278,16.7,,
19.370,268,16.4,,
19.385,239,15.5,,
19.400,256,16.0,,
19.415,266,16.3,,
19.430,252,15.9,,
19.445,298,17.3,,
19.460,270,16.4,,
19.475,244,15.6,,
19.490,245,15.7,,
19.505,261,16.2,,
19.520,253,15.9,,
19.535,263,16.2,,
19.550,259,16.1,,
19.565,265,16.3,,
19.580,273,16.5,,
19.595,267,16.3,,
19.610,259,16.1,,
19.625,253,15.9,,
19.640,244,15.6,,
19.655,259,16.1,,
19.670,280,16.7,,
19.685,292,17.1,,
19.700,253,15.9,,
19.715,258,16.1,,
19.730,254,15.9,,
19.745,269,16.4,,
19.760,250,15.8,,
19.775,261,16.2,,
19.790,260,16.1,,
19.805,251,15.8,,
19.820,251,15.8,,
19.835,244,15.6,,
19.850,247,15.7,,
19.865,249,15.8,,
19.880,252,15.9,,
19.895,269,16.4,,
19.910,268,16.4,,
19.925,249,15.8,,
19.940,246,15.7,,
19.955,257,16.0,,
19.970,292,17.1,,
19.985,259,16.1,,
20.000,260,16.1,,
20.015,251,15.8,,
20.030,267,16.3,,
20.045,277,16.6,,
20.060,283,16.8,,
20.075,282,16.8,,
20.090,248,15.7,,
20.105,268,16.4,,
20.120,257,16.0,,
20.135,271,16.5,,
20.150,236,15.4,,
20.165,279,16.7,,
20.180,263,16.2,,
20.195,255,16.0,,
20.210,270,16.4,,
20.225,240,15.5,,
20.240,241,15.5,,
20.255,264,16.2,,
20.270,238,15.4,,
20.285,252,15.9,,
20.300,246,15.7,,
20.315,251,15.8,,
20.330,254,15.9,,
20.345,240,15.5,,
20.360,257,16.0,,
20.375,257,16.0,,
20.390,230,15.2,,
20.405,242,15.6,,
20.420,240,15.5,,
20.435,267,16.3,,
20.450,274,16.6,,
20.465,251,15.8,,
20.480,261,16.2,,
20.495,246,15.7,,
20.510,249,15.8,,
20.525,250,15.8,,
20.540,263,16.2,,
20.555,246,15.7,,
20.570,246,15.7,,
20.585,259,16.1,,
20.600,263,16.2,,
20.615,267,16.3,,
20.630,257,16.0,,
20.645,237,15.4,,
20.660,255,16.0,,
20.675,252,15.9,,
20.690,282,16.8,,
20.705,256,16.0,,
20.720,247,15.7,,
20.735,239,15.5,,
20.750,254,15.9,,
20.765,248,15.7,,
20.780,209,14.5,,
20.795,236,15.4,,
20.810,237,15.4,,
20.825,232,15.2,,
20.840,211,14.5,,
20.855,240,15.5,,
20.870,248,15.7,,
20.885,241,15.5,,
20.900,247,15.7,,
20.915,245,15.7,,
20.930,243,15.6,,
20.945,238,15.4,,
20.960,222,14.9,,
20.975,238,15.4,,
20.990,232,15.2,,
21.005,226,15.0,,
21.020,237,15.4,,
21.035,242,15.6,,
21.050,277,16.6,,
21.065,272,16.5,,
21.080,236,15.4,,
21.095,239,15.5,,
21.110,249,15.8,,
21.125,252,15.9,,
21.140,238,15.4,,
21.155,272,16.5,,
21.170,269,16.4,,
21.185,256,16.0,,
21.200,246,15.7,,
21.215,247,15.7,,
21.230,263,16.2,,
21.245,262,16.2,,
21.260,280,16.7,,
21.275,267,16.3,,
21.290,253,15.9,,
21.305,252,15.9,,
21.320,235,15.3,,
21.335,238,15.4,,
21.350,238,15.4,,
21.365,230,15.2,,
21.380,273,16.5,,
21.395,246,15.7,,
21.410,267,16.3,,
21.425,297,17.2,,
21.440,312,17.7,,
21.455,358,18.9,,
21.470,396,19.9,,
21.485,440,21.0,,
21.500,504,22.4,,
21.515,613,24.8,,
21.530,692,26.3,,
21.545,850,29.2,,
21.560,1014,31.8,,
21.575,1172,34.2,,
21.590,1228,35.0,,
21.605,1177,34.3,,
21.620,1077,32.8,,
21.635,972,31.2,,
21.650,910,30.2,,
21.665,808,28.4,,
21.680,700,26.5,,
21.695,606,24.6,,
21.710,501,22.4,,
21.725,400,20.0,,
21.740,356,18.9,,
21.755,322,17.9,,
21.770,268,16.4,,
21.785,254,15.9,,
21.800,276,16.6,,
21.815,269,16.4,,
21.830,239,15.5,,
21.845,240,15.5,,
21.860,248,15.7,,
21.875,239,15.5,,
21.890,239,15.5,,
21.905,255,16.0,,
21.920,226,15.0,,
21.935,254,15.9,,
21.950,247,15.7,,
21.965,244,15.6,,
21.980,246,15.7,,
21.995,242,15.6,,
22.010,238,15.4,,
22.025,248,15.7,,
22.040,238,15.4,,
22.055,247,15.7,,
22.070,245,15.7,,
22.085,245,15.7,,
22.100,239,15.5,,
22.115,246,15.7,,
22.130,248,15.7,,
22.145,231,15.2,,
22.160,223,14.9,,
22.175,244,15.6,,
22.190,247,15.7,,
22.205,214,14.6,,
22.220,211,14.5,,
22.235,247,15.7,,
22.250,224,15.0,,
22.265,234,15.3,,
22.280,244,15.6,,
22.295,253,15.9,,
22.310,237,15.4,,
22.325,244,15.6,,
22.340,230,15.2,,
22.355,233,15.3,,
22.370,206,14.4,,
22.385,228,15.1,,
22.400,241,15.5,,
22.415,234,15.3,,
22.430,229,15.1,,
22.445,221,14.9,,
22.460,235,15.3,,
22.475,227,15.1,,
22.490,221,14.9,,
22.505,228,15.1,,
22.520,228,15.1,,
22.535,203,14.2,,
22.550,220,14.8,,
22.565,229,15.1,,
22.580,213,14.6,,
22.595,225,15.0,,
22.610,223,14.9,,
22.625,223,14.9,,
22.640,225,15.0,,
22.655,236,15.4,,
22.670,221,14.9,,
22.685,221,14.9,,
22.700,230,15.2,,
22.715,235,15.3,,
22.730,221,14.9,,
22.745,215,14.7,,
22.760,217,14.7,,
22.775,204,14.3,,
22.790,217,14.7,,
22.805,217,14.7,,
22.820,218,14.8,,
22.835,232,15.2,,
22.850,234,15.3,,
22.865,222,14.9,,
22.880,217,14.7,,
22.895,222,14.9,,
22.910,231,15.2,,
22.925,239,15.5,,
22.940,206,14.4,,
22.955,209,14.5,,
22.970,232,15.2,,
22.985,224,15.0,,
23.000,220,14.8,,
23.015,250,15.8,,
23.030,240,15.5,,
23.045,241,15.5,,
23.060,225,15.0,,
23.075,235,15.3,,
23.090,228,15.1,,
23.105,227,15.1,,
23.120,245,15.7,,
23.135,223,14.9,,
23.150,206,14.4,,
23.165,231,15.2,,
23.180,226,15.0,,
23.195,227,15.1,,
23.210,229,15.1,,
23.225,259,16.1,,
23.240,292,17.1,,
23.255,297,17.2,,
23.270,317,17.8,,
23.285,391,19.8,,
23.300,450,21.2,,
23.315,513,22.6,,
23.330,597,24.4,,
23.345,619,24.9,,
23.360,661,25.7,,
23.375,579,24.1,,
23.390,564,23.7,,
23.405,507,22.5,,
23.420,393,19.8,,
23.435,320,17.9,,
23.450,288,17.0,,
23.465,279,16.7,,
23.480,247,15.7,,
23.495,211,14.5,,
23.510,219,14.8,,
23.525,227,15.1,,
23.540,243,15.6,,
23.555,213,14.6,,
23.570,201,14.2,,
23.585,201,14.2,,
23.600,232,15.2,,
23.615,215,14.7,,
23.630,234,15.3,,
23.645,221,14.9,,
23.660,214,14.6,,
23.675,184,13.6,,
23.690,212,14.6,,
23.705,250,15.8,,
23.720,247,15.7,,
23.735,228,15.1,,
23.750,239,15.5,,
23.765,214,14.6,,
23.780,202,14.2,,
23.795,202,14.2,,
23.810,195,14.0,,
23.825,205,14.3,,
23.840,209,14.5,,
23.855,204,14.3,,
23.870,228,15.1,,
23.885,200,14.1,,
23.900,201,14.2,,
23.915,200,14.1,,
23.930,238,15.4,,
23.945,226,15.0,,
23.960,208,14.4,,
23.975,223,14.9,,
23.990,227,15.1,,
24.005,230,15.2,,
24.020,236,15.4,,
24.035,226,15.0,,
24.050,216,14.7,,
24.065,210,14.5,,
24.080,192,13.9,,
24.095,211,14.5,,
24.110,217,14.7,,
24.125,214,14.6,,
24.140,200,14.1,,
24.155,204,14.3,,
24.170,212,14.6,,
24.185,203,14.2,,
24.200,208,14.4,,
24.215,196,14.0,,
24.230,207,14.4,,
24.245,213,14.6,,
24.260,208,14.4,,
24.275,210,14.5,,
24.290,212,14.6,,
24.305,189,13.7,,
24.320,203,14.2,,
24.335,202,14.2,,
24.350,203,14.2,,
24.365,207,14.4,,
24.380,201,14.2,,
24.395,210,14.5,,
24.410,207,14.4,,
24.425,211,14.5,,
24.440,204,14.3,,
24.455,214,14.6,,
24.470,202,14.2,,
24.485,189,13.7,,
24.500,209,14.5,,
24.515,213,14.6,,
24.530,235,15.3,,
24.545,202,14.2,,
24.560,218,14.8,,
24.575,208,14.4,,
24.590,200,14.1,,
24.605,188,13.7,,
24.620,193,13.9,,
24.635,206,14.4,,
24.650,205,14.3,,
24.665,199,14.1,,
24.680,201,14.2,,
24.695,209,14.5,,
24.710,207,14.4,,
24.725,191,13.8,,
24.740,215,14.7,,
24.755,218,14.8,,
24.770,188,13.7,,
24.785,206,14.4,,
24.800,234,15.3,,
24.815,245,15.7,,
24.830,276,16.6,,
24.845,270,16.4,,
24.860,289,17.0,,
24.875,288,17.0,,
24.890,321,17.9,,
24.905,376,19.4,,
24.920,465,21.6,,
24.935,542,23.3,,
24.950,613,24.8,,
24.965,638,25.3,,
24.980,642,25.3,,
24.995,643,25.4,,
25.010,567,23.8,,
25.025,445,21.1,,
25.040,371,19.3,,
25.055,336,18.3,,
25.070,272,16.5,,
25.085,257,16.0,,
25.100,235,15.3,,
25.115,206,14.4,,
25.130,190,13.8,,
25.145,194,13.9,,
25.160,193,13.9,,
25.175,192,13.9,,
25.190,221,14.9,,
25.205,197,14.0,,
25.220,200,14.1,,
25.235,192,13.9,,
25.250,179,13.4,,
25.265,180,13.4,,
25.280,182,13.5,,
25.295,201,14.2,,
25.310,198,14.1,,
25.325,200,14.1,,
25.340,205,14.3,,
25.355,198,14.1,,
25.370,196,14.0,,
25.385,198,14.1,,
25.400,191,13.8,,
25.415,193,13.9,,
25.430,188,13.7,,
25.445,198,14.1,,
25.460,202,14.2,,
25.475,184,13.6,,
25.490,181,13.5,,
25.505,175,13.2,,
25.520,215,14.7,,
25.535,196,14.0,,
25.550,207,14.4,,
25.565,167,12.9,,
25.580,196,14.0,,
25.595,185,13.6,,
25.610,193,13.9,,
25.625,202,14.2,,
25.640,194,13.9,,
25.655,204,14.3,,
25.670,178,13.3,,
25.685,190,13.8,,
25.700,189,13.7,,
25.715,192,13.9,,
25.730,205,14.3,,
25.745,176,13.3,,
25.760,168,13.0,,
25.775,169,13.0,,
25.790,196,14.0,,
25.805,189,13.7,,
25.820,209,14.5,,
25.835,188,13.7,,
25.850,188,13.7,,
25.865,176,13.3,,
25.880,183,13.5,,
25.895,169,13.0,,
25.910,186,13.6,,
25.925,192,13.9,,
25.940,182,13.5,,
25.955,193,13.9,,
25.970,195,14.0,,
25.985,184,13.6,,
26.000,194,13.9,,
26.015,188,13.7,,
26.030,170,13.0,,
26.045,176,13.3,,
26.060,206,14.4,,
26.075,188,13.7,,
26.090,201,14.2,,
26.105,213,14.6,,
26.120,199,14.1,,
26.135,207,14.4,,
26.150,190,13.8,,
26.165,193,13.9,,
26.180,173,13.2,,
26.195,159,12.6,,
26.210,189,13.7,,
26.225,177,13.3,,
26.240,180,13.4,,
26.255,195,14.0,,
26.270,204,14.3,,
26.285,195,14.0,,
26.300,186,13.6,,
26.315,203,14.2,,
26.330,194,13.9,,
26.345,208,14.4,,
26.360,255,16.0,,
26.375,260,16.1,,
26.390,267,16.3,,
26.405,298,17.3,,
26.420,359,18.9,,
26.435,435,20.9,,
26.450,544,23.3,,
26.465,731,27.0,,
26.480,892,29.9,,
26.495,1024,32.0,,
26.510,1215,34.9,,
26.525,1380,37.1,,
26.540,1369,37.0,,
26.555,1317,36.3,,
26.570,1092,33.0,,
26.585,930,30.5,,
26.600,729,27.0,,
26.615,546,23.4,,
26.630,522,22.8,,
26.645,465,21.6,,
26.660,423,20.6,,
26.675,403,20.1,,
26.690,399,20.0,,
26.705,323,18.0,,
26.720,290,17.0,,
26.735,252,15.9,,
26.750,227,15.1,,
26.765,190,13.8,,
26.780,207,14.4,,
26.795,171,13.1,,
26.810,192,13.9,,
26.825,210,14.5,,
26.840,155,12.4,,
26.855,181,13.5,,
26.870,203,14.2,,
26.885,174,13.2,,
26.900,168,13.0,,
26.915,193,13.9,,
26.930,188,13.7,,
26.945,180,13.4,,
26.960,181,13.5,,
26.975,187,13.7,,
26.990,187,13.7,,
27.005,204,14.3,,
27.020,178,13.3,,
27.035,176,13.3,,
27.050,185,13.6,,
27.065,181,13.5,,
27.080,191,13.8,,
27.095,154,12.4,,
27.110,149,12.2,,
27.125,170,13.0,,
27.140,191,13.8,,
27.155,170,13.0,,
27.170,169,13.0,,
27.185,158,12.6,,
27.200,174,13.2,,
27.215,180,13.4,,
27.230,163,12.8,,
27.245,159,12.6,,
27.260,166,12.9,,
27.275,173,13.2,,
27.290,174,13.2,,
27.305,165,12.8,,
27.320,165,12.8,,
27.335,169,13.0,,
27.350,154,12.4,,
27.365,163,12.8,,
27.380,163,12.8,,
27.395,165,12.8,,
27.410,165,12.8,,
27.425,160,12.6,,
27.440,148,12.2,,
27.455,159,12.6,,
27.470,164,12.8,,
27.485,170,13.0,,
27.500,173,13.2,,
27.515,156,12.5,,
27.530,174,13.2,,
27.545,172,13.1,,
27.560,178,13.3,,
27.575,157,12.5,,
27.590,159,12.6,,
27.605,164,12.8,,
27.620,176,13.3,,
27.635,172,13.1,,
27.650,181,13.5,,
27.665,168,13.0,,
27.680,177,13.3,,
27.695,173,13.2,,
27.710,183,13.5,,
27.725,188,13.7,,
27.740,191,13.8,,
27.755,188,13.7,,
27.770,168,13.0,,
27.785,166,12.9,,
27.800,169,13.0,,
27.815,170,13.0,,
27.830,179,13.4,,
27.845,190,13.8,,
27.860,172,13.1,,
27.875,191,13.8,,
27.890,194,13.9,,
27.905,199,14.1,,
27.920,237,15.4,,
27.935,231,15.2,,
27.950,274,16.6,,
27.965,360,19.0,,
27.980,425,20.6,,
27.995,515,22.7,,
28.010,567,23.8,,
28.025,685,26.2,,
28.040,703,26.5,,
28.055,669,25.9,,
28.070,620,24.9,,
28.085,551,23.5,,
28.100,441,21.0,,
28.115,372,19.3,,
28.130,289,17.0,,
28.145,254,15.9,,
28.160,199,14.1,,
28.175,202,14.2,,
28.190,185,13.6,,
28.205,177,13.3,,
28.220,143,12.0,,
28.235,160,12.6,,
28.250,186,13.6,,
28.265,174,13.2,,
28.280,161,12.7,,
28.295,170,13.0,,
28.310,175,13.2,,
28.325,191,13.8,,
28.340,174,13.2,,
28.355,158,12.6,,
28.370,163,12.8,,
28.385,169,13.0,,
28.400,166,12.9,,
28.415,178,13.3,,
28.430,183,13.5,,
28.445,172,13.1,,
28.460,168,13.0,,
28.475,170,13.0,,
28.490,155,12.4,,
28.505,160,12.6,,
28.520,146,12.1,,
28.535,161,12.7,,
28.550,159,12.6,,
28.565,163,12.8,,
28.580,173,13.2,,
28.595,161,12.7,,
28.610,164,12.8,,
28.625,189,13.7,,
28.640,170,13.0,,
28.655,159,12.6,,
28.670,159,12.6,,
28.685,171,13.1,,
28.700,175,13.2,,
28.715,156,12.5,,
28.730,164,12.8,,
28.745,167,12.9,,
28.760,197,14.0,,
28.775,181,13.5,,
28.790,174,13.2,,
28.805,157,12.5,,
28.820,183,13.5,,
28.835,165,12.8,,
28.850,156,12.5,,
28.865,150,12.2,,
28.880,165,12.8,,
28.895,160,12.6,,
28.910,149,12.2,,
28.925,152,12.3,,
28.940,168,13.0,,
28.955,166,12.9,,
28.970,160,12.6,,
28.985,161,12.7,,
29.000,156,12.5,,
29.015,153,12.4,,
29.030,146,12.1,,
29.045,168,13.0,,
29.060,160,12.6,,
29.075,173,13.2,,
29.090,163,12.8,,
29.105,146,12.1,,
29.120,145,12.0,,
29.135,143,12.0,,
29.150,163,12.8,,
29.165,143,12.0,,
29.180,135,11.6,,
29.195,148,12.2,,
29.210,166,12.9,,
29.225,180,13.4,,
29.240,162,12.7,,
29.255,159,12.6,,
29.270,166,12.9,,
29.285,141,11.9,,
29.300,157,12.5,,
29.315,183,13.5,,
29.330,155,12.4,,
29.345,154,12.4,,
29.360,170,13.0,,
29.375,182,13.5,,
29.390,185,13.6,,
29.405,175,13.2,,
29.420,185,13.6,,
29.435,195,14.0,,
29.450,233,15.3,,
29.465,274,16.6,,
29.480,279,16.7,,
29.495,324,18.0,,
29.510,323,18.0,,
29.525,340,18.4,,
29.540,301,17.3,,
29.555,265,16.3,,
29.570,234,15.3,,
29.585,200,14.1,,
29.600,191,13.8,,
29.615,167,12.9,,
29.630,169,13.0,,
29.645,171,13.1,,
29.660,168,13.0,,
29.675,156,12.5,,
29.690,170,13.0,,
29.705,150,12.2,,
29.720,166,12.9,,
29.735,172,13.1,,
29.750,166,12.9,,
29.765,159,12.6,,
29.780,164,12.8,,
29.795,159,12.6,,
29.810,155,12.4,,
29.825,160,12.6,,
29.840,164,12.8,,
29.855,162,12.7,,
29.870,152,12.3,,
29.885,131,11.4,,
29.900,151,12.3,,
29.915,140,11.8,,
29.930,146,12.1,,
29.945,160,12.6,,
29.960,160,12.6,,
29.975,150,12.2,,
29.990,148,12.2,,
30.005,147,12.1,,
30.020,162,12.7,,
30.035,146,12.1,,
30.050,155,12.4,,
30.065,155,12.4,,
30.080,155,12.4,,
30.095,161,12.7,,
30.110,160,12.6,,
30.125,146,12.1,,
30.140,142,11.9,,
30.155,159,12.6,,
30.170,149,12.2,,
30.185,152,12.3,,
30.200,169,13.0,,
30.215,164,12.8,,
30.230,179,13.4,,
30.245,186,13.6,,
30.260,180,13.4,,
30.275,171,13.1,,
30.290,158,12.6,,
30.305,152,12.3,,
30.320,163,12.8,,
30.335,163,12.8,,
30.350,161,12.7,,
30.365,167,12.9,,
30.380,175,13.2,,
30.395,177,13.3,,
30.410,155,12.4,,
30.425,163,12.8,,
30.440,192,13.9,,
30.455,202,14.2,,
30.470,172,13.1,,
30.485,185,13.6,,
30.500,198,14.1,,
30.515,185,13.6,,
30.530,199,14.1,,
30.545,205,14.3,,
30.560,235,15.3,,
30.575,284,16.9,,
30.590,259,16.1,,
30.605,318,17.8,,
30.620,391,19.8,,
30.635,449,21.2,,
30.650,613,24.8,,
30.665,805,28.4,,
30.680,1072,32.7,,
30.695,1374,37.1,,
30.710,1923,43.9,,
30.725,2461,49.6,,
30.740,3052,55.2,,
30.755,3554,59.6,,
30.770,3833,61.9,,
30.785,3653,60.4,,
30.800,3250,57.0,,
30.815,2518,50.2,,
30.830,1795,42.4,,
30.845,1262,35.5,,
30.860,931,30.5,,
30.875,674,26.0,,
30.890,517,22.7,,
30.905,409,20.2,,
30.920,363,19.1,,
30.935,301,17.3,,
30.950,250,15.8,,
30.965,245,15.7,,
30.980,209,14.5,,
30.995,203,14.2,,
31.010,190,13.8,,
31.025,177,13.3,,
31.040,190,13.8,,
31.055,187,13.7,,
31.070,173,13.2,,
31.085,171,13.1,,
31.100,177,13.3,,
31.115,171,13.1,,
31.130,142,11.9,,
31.145,140,11.8,,
31.160,171,13.1,,
31.175,146,12.1,,
31.190,139,11.8,,
31.205,146,12.1,,
31.220,166,12.9,,
31.235,167,12.9,,
31.250,165,12.8,,
31.265,175,13.2,,
31.280,144,12.0,,
31.295,154,12.4,,
31.310,172,13.1,,
31.325,147,12.1,,
31.340,166,12.9,,
31.355,162,12.7,,
31.370,150,12.2,,
31.385,137,11.7,,
31.400,141,11.9,,
31.415,152,12.3,,
31.430,123,11.1,,
31.445,151,12.3,,
31.460,166,12.9,,
31.475,155,12.4,,
31.490,150,12.2,,
31.505,164,12.8,,
31.520,152,12.3,,
31.535,169,13.0,,
31.550,152,12.3,,
31.565,140,11.8,,
31.580,144,12.0,,
31.595,143,12.0,,
31.610,150,12.2,,
31.625,143,12.0,,
31.640,136,11.7,,
31.655,129,11.4,,
31.670,149,12.2,,
31.685,153,12.4,,
31.700,146,12.1,,
31.715,137,11.7,,
31.730,139,11.8,,
31.745,156,12.5,,
31.760,151,12.3,,
31.775,145,12.0,,
31.790,145,12.0,,
31.805,140,11.8,,
31.820,126,11.2,,
31.835,129,11.4,,
31.850,145,12.0,,
31.865,147,12.1,,
31.880,142,11.9,,
31.895,138,11.7,,
31.910,154,12.4,,
31.925,132,11.5,,
31.940,143,12.0,,
31.955,143,12.0,,
31.970,125,11.2,,
31.985,132,11.5,,
32.000,135,11.6,,
32.015,166,12.9,,
32.030,147,12.1,,
32.045,121,11.0,,
32.060,125,11.2,,
32.075,133,11.5,,
32.090,143,12.0,,
32.105,141,11.9,,
32.120,143,12.0,,
32.135,132,11.5,,
32.150,133,11.5,,
32.165,129,11.4,,
32.180,133,11.5,,
32.195,141,11.9,,
32.210,146,12.1,,
32.225,138,11.7,,
32.240,141,11.9,,
32.255,164,12.8,,
32.270,127,11.3,,
32.285,143,12.0,,
32.300,150,12.2,,
32.315,133,11.5,,
32.330,129,11.4,,
32.345,134,11.6,,
32.360,134,11.6,,
32.375,127,11.3,,
32.390,138,11.7,,
32.405,141,11.9,,
32.420,125,11.2,,
32.435,132,11.5,,
32.450,145,12.0,,
32.465,121,11.0,,
32.480,133,11.5,,
32.495,137,11.7,,
32.510,132,11.5,,
32.525,137,11.7,,
32.540,145,12.0,,
32.555,159,12.6,,
32.570,153,12.4,,
32.585,146,12.1,,
32.600,142,11.9,,
32.615,141,11.9,,
32.630,123,11.1,,
32.645,138,11.7,,
32.660,142,11.9,,
32.675,131,11.4,,
32.690,131,11.4,,
32.705,138,11.7,,
32.720,119,10.9,,
32.735,117,10.8,,
32.750,119,10.9,,
32.765,125,11.2,,
32.780,129,11.4,,
32.795,150,12.2,,
32.810,130,11.4,,
32.825,132,11.5,,
32.840,136,11.7,,
32.855,126,11.2,,
32.870,142,11.9,,
32.885,155,12.4,,
32.900,159,12.6,,
32.915,157,12.5,,
32.930,144,12.0,,
32.945,152,12.3,,
32.960,144,12.0,,
32.975,144,12.0,,
32.990,135,11.6,,
33.005,140,11.8,,
33.020,144,12.0,,
33.035,153,12.4,,
33.050,147,12.1,,
33.065,136,11.7,,
33.080,143,12.0,,
33.095,140,11.8,,
33.110,149,12.2,,
33.125,165,12.8,,
33.140,171,13.1,,
33.155,204,14.3,,
33.170,214,14.6,,
33.185,228,15.1,,
33.200,253,15.9,,
33.215,274,16.6,,
33.230,293,17.1,,
33.245,299,17.3,,
33.260,314,17.7,,
33.275,286,16.9,,
33.290,258,16.1,,
33.305,228,15.1,,
33.320,200,14.1,,
33.335,181,13.5,,
33.350,148,12.2,,
33.365,168,13.0,,
33.380,178,13.3,,
33.395,162,12.7,,
33.410,146,12.1,,
33.425,145,12.0,,
33.440,161,12.7,,
33.455,145,12.0,,
33.470,148,12.2,,
33.485,130,11.4,,
33.500,140,11.8,,
33.515,119,10.9,,
33.530,139,11.8,,
33.545,141,11.9,,
33.560,138,11.7,,
33.575,137,11.7,,
33.590,133,11.5,,
33.605,129,11.4,,
33.620,141,11.9,,
33.635,142,11.9,,
33.650,136,11.7,,
33.665,131,11.4,,
33.680,144,12.0,,
33.695,134,11.6,,
33.710,129,11.4,,
33.725,128,11.3,,
33.740,149,12.2,,
33.755,136,11.7,,
33.770,130,11.4,,
33.785,133,11.5,,
33.800,130,11.4,,
33.815,153,12.4,,
33.830,142,11.9,,
33.845,144,12.0,,
33.860,143,12.0,,
33.875,145,12.0,,
